date;value
2019/04/01 00:00:00;209
2019/04/01 01:00:00;200
2019/04/01 02:00:00;260
2019/04/01 03:00:00;208
2019/04/01 04:00:00;201
2019/04/01 05:00:00;127
2019/04/01 06:00:00;104
2019/04/01 07:00:00;104
2019/04/01 08:00:00;332
2019/04/01 09:00:00;101
2019/04/01 10:00:00;159
2019/04/01 11:00:00;234
2019/04/01 12:00:00;243
2019/04/01 13:00:00;271
2019/04/01 14:00:00;299
2019/04/01 15:00:00;302
2019/04/01 16:00:00;164
2019/04/01 17:00:00;238
2019/04/01 18:00:00;255
2019/04/01 19:00:00;242
2019/04/01 20:00:00;281
2019/04/01 21:00:00;320
2019/04/01 22:00:00;132
2019/04/01 23:00:00;109
2019/04/02 00:00:00;213
2019/04/02 01:00:00;193
2019/04/02 02:00:00;102
2019/04/02 03:00:00;101
2019/04/02 04:00:00;101
2019/04/02 05:00:00;101
2019/04/02 06:00:00;101
2019/04/02 07:00:00;102
2019/04/02 08:00:00;101
2019/04/02 09:00:00;152
2019/04/02 10:00:00;115
2019/04/02 11:00:00;1086
2019/04/02 12:00:00;405
2019/04/02 13:00:00;657
2019/04/02 14:00:00;241
2019/04/02 15:00:00;774
2019/04/02 16:00:00;492
2019/04/02 17:00:00;159
2019/04/02 18:00:00;301
2019/04/02 19:00:00;267
2019/04/02 20:00:00;307
2019/04/02 21:00:00;163
2019/04/02 22:00:00;149
2019/04/02 23:00:00;898
2019/04/03 00:00:00;130
2019/04/03 01:00:00;115
2019/04/03 02:00:00;106
2019/04/03 03:00:00;105
2019/04/03 04:00:00;115
2019/04/03 05:00:00;156
2019/04/03 06:00:00;106
2019/04/03 07:00:00;106
2019/04/03 08:00:00;137
2019/04/03 09:00:00;157
2019/04/03 10:00:00;226
2019/04/03 11:00:00;451
2019/04/03 12:00:00;237
2019/04/03 13:00:00;223
2019/04/03 14:00:00;194
2019/04/03 15:00:00;285
2019/04/03 16:00:00;309
2019/04/03 17:00:00;176
2019/04/03 18:00:00;163
2019/04/03 19:00:00;196
2019/04/03 20:00:00;189
2019/04/03 21:00:00;214
2019/04/03 22:00:00;111
2019/04/03 23:00:00;105
2019/04/04 00:00:00;105
2019/04/04 01:00:00;200
2019/04/04 02:00:00;147
2019/04/04 03:00:00;104
2019/04/04 04:00:00;104
2019/04/04 05:00:00;104
2019/04/04 06:00:00;104
