date;value
2019/02/05 01:00:00;1968
2019/02/05 02:00:00;1959
2019/02/05 03:00:00;1960
2019/02/05 04:00:00;1978
2019/02/05 05:00:00;1892
2019/02/05 06:00:00;1810
2019/02/05 07:00:00;1937
2019/02/05 08:00:00;1905
2019/02/05 09:00:00;1906
2019/02/05 10:00:00;1235
2019/02/05 11:00:00;2035
2019/02/05 12:00:00;1569
2019/02/05 13:00:00;1738
2019/02/05 14:00:00;2072
2019/02/05 15:00:00;1890
2019/02/05 16:00:00;97
2019/02/05 17:00:00;223
2019/02/05 18:00:00;1349
2019/02/05 19:00:00;1424
2019/02/05 20:00:00;317
2019/02/05 21:00:00;1670
2019/02/05 22:00:00;1900
2019/02/05 23:00:00;1572
2019/02/06 00:00:00;1642
2019/02/06 01:00:00;1636
2019/02/06 02:00:00;1951
2019/02/06 03:00:00;1446
2019/02/06 04:00:00;1682
2019/02/06 05:00:00;1597
2019/02/06 06:00:00;1639
2019/02/06 07:00:00;1625
2019/02/06 08:00:00;1877
2019/02/06 09:00:00;1919
2019/02/06 10:00:00;777
2019/02/06 11:00:00;1999
2019/02/06 12:00:00;1270
2019/02/06 13:00:00;604
2019/02/06 14:00:00;616
2019/02/06 15:00:00;596
2019/02/06 16:00:00;88
2019/02/06 17:00:00;114
2019/02/06 18:00:00;218
2019/02/06 19:00:00;233
2019/02/06 20:00:00;239
2019/02/06 21:00:00;152
2019/02/06 22:00:00;192
2019/02/06 23:00:00;962
2019/02/07 00:00:00;1793
2019/02/07 01:00:00;195
2019/02/07 02:00:00;684
2019/02/07 03:00:00;521
2019/02/07 04:00:00;487
2019/02/07 05:00:00;297
2019/02/07 06:00:00;88
2019/02/07 07:00:00;89
2019/02/07 08:00:00;538
2019/02/07 09:00:00;89
2019/02/07 10:00:00;1117
2019/02/07 11:00:00;1096
2019/02/07 12:00:00;954
2019/02/07 13:00:00;730
2019/02/07 14:00:00;613
2019/02/07 15:00:00;484
2019/02/07 16:00:00;98
2019/02/07 17:00:00;229
2019/02/07 18:00:00;431
2019/02/07 19:00:00;400
2019/02/07 20:00:00;87
2019/02/07 21:00:00;120
2019/02/07 22:00:00;230
2019/02/07 23:00:00;222
2019/02/08 00:00:00;256
2019/02/08 01:00:00;99
2019/02/08 02:00:00;91
2019/02/08 03:00:00;90
2019/02/08 04:00:00;90
2019/02/08 05:00:00;90
2019/02/08 06:00:00;90
2019/02/08 07:00:00;90
2019/02/08 08:00:00;397
2019/02/08 09:00:00;830
2019/02/08 10:00:00;780
2019/02/08 11:00:00;1208
2019/02/08 12:00:00;1070
2019/02/08 13:00:00;754
2019/02/08 14:00:00;794
2019/02/08 15:00:00;800
2019/02/08 16:00:00;658
2019/02/08 17:00:00;993
2019/02/08 18:00:00;426
2019/02/08 19:00:00;476
2019/02/08 20:00:00;874
2019/02/08 21:00:00;337
2019/02/08 22:00:00;214
2019/02/08 23:00:00;238
2019/02/09 00:00:00;1445
2019/02/09 01:00:00;1378
2019/02/09 02:00:00;1241
2019/02/09 03:00:00;272
2019/02/09 04:00:00;103
