date,daily_date,kwh,dow,is_weekend,hour,is_working_time,is_night_time,season,cost,discriminative_cost,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,prec,presMax,presMin,racha,sol,tmax,tmed,tmin,velmedia,dir_axis_1,dir_axis_2
2019-02-05 01:00:00,2019-02-05,1.968,Tuesday,False,1,False,True,winter,0.360197136,0.248021136,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 02:00:00,2019-02-05,1.959,Tuesday,False,2,False,True,winter,0.358549893,0.246886893,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 03:00:00,2019-02-05,1.96,Tuesday,False,3,False,True,winter,0.35873292,0.24701292,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 04:00:00,2019-02-05,1.978,Tuesday,False,4,False,True,winter,0.362027406,0.249281406,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 05:00:00,2019-02-05,1.892,Tuesday,False,5,False,True,winter,0.34628708399999997,0.238443084,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 06:00:00,2019-02-05,1.81,Tuesday,False,6,False,True,winter,0.33127887,0.22810887000000002,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 07:00:00,2019-02-05,1.937,Tuesday,False,7,False,True,winter,0.354523299,0.244114299,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 08:00:00,2019-02-05,1.905,Tuesday,False,8,False,True,winter,0.348666435,0.240081435,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 09:00:00,2019-02-05,1.906,Tuesday,False,9,True,False,winter,0.348849462,0.24020746199999998,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 10:00:00,2019-02-05,1.235,Tuesday,False,10,True,False,winter,0.226038345,0.15564334500000002,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 11:00:00,2019-02-05,2.035,Tuesday,False,11,True,False,winter,0.372459945,0.256464945,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 12:00:00,2019-02-05,1.569,Tuesday,False,12,True,False,winter,0.287169363,0.321687363,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 13:00:00,2019-02-05,1.738,Tuesday,False,13,True,False,winter,0.318100926,0.356336926,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 14:00:00,2019-02-05,2.072,Tuesday,False,14,True,False,winter,0.379231944,0.42481594400000006,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 15:00:00,2019-02-05,1.89,Tuesday,False,15,True,False,winter,0.34592102999999996,0.38750103,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 16:00:00,2019-02-05,0.097,Tuesday,False,16,True,False,winter,0.017753619,0.019887619000000002,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 17:00:00,2019-02-05,0.223,Tuesday,False,17,True,False,winter,0.040815021,0.04572102100000001,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 18:00:00,2019-02-05,1.349,Tuesday,False,18,True,False,winter,0.24690342299999998,0.276581423,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 19:00:00,2019-02-05,1.424,Tuesday,False,19,True,False,winter,0.26063044799999996,0.291958448,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 20:00:00,2019-02-05,0.317,Tuesday,False,20,False,False,winter,0.058019559,0.064993559,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 21:00:00,2019-02-05,1.67,Tuesday,False,21,False,False,winter,0.30565508999999996,0.34239509,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 22:00:00,2019-02-05,1.9,Tuesday,False,22,False,False,winter,0.3477513,0.3895513,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-05 23:00:00,2019-02-05,1.572,Tuesday,False,23,False,False,winter,0.287718444,0.198114444,Varias,17,07:12,16:01,07:05,0.0,1026.1,1022.8,8.3,10.2,20.3,11.9,3.5,1.9,0.9917900138232462,0.127877161684506
2019-02-06 00:00:00,2019-02-06,1.642,Wednesday,False,0,False,True,winter,0.30053033399999995,0.206936334,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 01:00:00,2019-02-06,1.636,Wednesday,False,1,False,True,winter,0.299432172,0.206180172,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 02:00:00,2019-02-06,1.951,Wednesday,False,2,False,True,winter,0.357085677,0.24587867700000002,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 03:00:00,2019-02-06,1.446,Wednesday,False,3,False,True,winter,0.264657042,0.18223504199999999,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 04:00:00,2019-02-06,1.682,Wednesday,False,4,False,True,winter,0.307851414,0.211977414,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 05:00:00,2019-02-06,1.597,Wednesday,False,5,False,True,winter,0.29229411899999996,0.201265119,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 06:00:00,2019-02-06,1.639,Wednesday,False,6,False,True,winter,0.299981253,0.206558253,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 07:00:00,2019-02-06,1.625,Wednesday,False,7,False,True,winter,0.29741887499999997,0.20479387500000001,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 08:00:00,2019-02-06,1.877,Wednesday,False,8,False,True,winter,0.343541679,0.236552679,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 09:00:00,2019-02-06,1.919,Wednesday,False,9,True,False,winter,0.351228813,0.241845813,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 10:00:00,2019-02-06,0.777,Wednesday,False,10,True,False,winter,0.142211979,0.09792297900000001,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 11:00:00,2019-02-06,1.999,Wednesday,False,11,True,False,winter,0.365870973,0.251927973,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 12:00:00,2019-02-06,1.27,Wednesday,False,12,True,False,winter,0.23244429,0.26038429,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 13:00:00,2019-02-06,0.604,Wednesday,False,13,True,False,winter,0.110548308,0.123836308,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 14:00:00,2019-02-06,0.616,Wednesday,False,14,True,False,winter,0.112744632,0.12629663200000002,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 15:00:00,2019-02-06,0.596,Wednesday,False,15,True,False,winter,0.109084092,0.122196092,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 16:00:00,2019-02-06,0.088,Wednesday,False,16,True,False,winter,0.016106376,0.018042376,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 17:00:00,2019-02-06,0.114,Wednesday,False,17,True,False,winter,0.020865078,0.023373078000000002,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 18:00:00,2019-02-06,0.218,Wednesday,False,18,True,False,winter,0.039899885999999996,0.044695886000000004,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 19:00:00,2019-02-06,0.233,Wednesday,False,19,True,False,winter,0.042645291,0.04777129100000001,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 20:00:00,2019-02-06,0.239,Wednesday,False,20,False,False,winter,0.043743452999999995,0.049001453,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 21:00:00,2019-02-06,0.152,Wednesday,False,21,False,False,winter,0.027820104,0.031164104,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 22:00:00,2019-02-06,0.192,Wednesday,False,22,False,False,winter,0.035141184,0.039365184000000004,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-06 23:00:00,2019-02-06,0.962,Wednesday,False,23,False,False,winter,0.176071974,0.121237974,Varias,16,09:18,15:35,06:56,0.0,1023.5,1019.8,6.7,9.8,21.2,13.0,4.9,1.9,0.9672948630390295,0.25365458390950735
2019-02-07 00:00:00,2019-02-07,1.793,Thursday,False,0,False,True,winter,0.32816741099999996,0.22596641099999998,Varias,17,Varias,16:55,07:39,0.0,1022.0,1018.5,5.0,9.9,21.2,13.0,4.9,1.9,1.0,-2.4492935982947064e-16
2019-02-07 01:00:00,2019-02-07,0.195,Thursday,False,1,False,True,winter,0.035690265,0.024575265000000002,Varias,17,Varias,16:55,07:39,0.0,1022.0,1018.5,5.0,9.9,21.2,13.0,4.9,1.9,1.0,-2.4492935982947064e-16
2019-02-07 02:00:00,2019-02-07,0.684,Thursday,False,2,False,True,winter,0.125190468,0.086202468,Varias,17,Varias,16:55,07:39,0.0,1022.0,1018.5,5.0,9.9,21.2,13.0,4.9,1.9,1.0,-2.4492935982947064e-16
