altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
34,3,2019-02-05,Varias,17,07:12,16:01,07:05,5783,SEVILLA AEROPUERTO,"0,0","1026,1","1022,8",SEVILLA,"8,3","10,2","20,3","11,9","3,5","1,9"
34,5,2019-02-06,Varias,16,09:18,15:35,06:56,5783,SEVILLA AEROPUERTO,"0,0","1023,5","1019,8",SEVILLA,"6,7","9,8","21,2","13,0","4,9","1,9"
34,99,2019-02-07,Varias,17,Varias,16:55,07:39,5783,SEVILLA AEROPUERTO,"0,0","1022,0","1018,5",SEVILLA,"5,0","9,9","21,2","13,0","4,9","1,9"
34,99,2019-02-08,Varias,17,Varias,15:03,05:50,5783,SEVILLA AEROPUERTO,"0,1","1021,3","1018,3",SEVILLA,"4,7","10,1","19,3","12,2","5,1","2,2"
34,21,2019-02-09,Varias,17,17:40,15:21,07:35,5783,SEVILLA AEROPUERTO,Ip,"1022,0","1018,8",SEVILLA,"5,0","9,9","18,1","10,5","2,9","1,7"
34,23,2019-02-10,Varias,02,18:04,15:33,04:24,5783,SEVILLA AEROPUERTO,"0,0","1024,8","1020,9",SEVILLA,"6,7","5,8","18,8","12,4","6,0","2,2"
34,3,2019-02-11,Varias,16,15:15,14:14,07:32,5783,SEVILLA AEROPUERTO,"0,0","1024,5","1022,0",SEVILLA,"5,8","7,7","19,6","14,4","9,3","0,8"
34,11,2019-02-12,Varias,04,15:48,15:00,07:27,5783,SEVILLA AEROPUERTO,"0,0","1025,9","1023,3",SEVILLA,"8,9","9,7","20,8","13,8","6,9","3,1"
34,99,2019-02-13,Varias,17,Varias,15:37,23:54,5783,SEVILLA AEROPUERTO,"0,0","1025,5","1022,4",SEVILLA,"8,3","10,3","20,3","14,0","7,7","3,3"
34,99,2019-02-14,Varias,18,Varias,15:40,03:54,5783,SEVILLA AEROPUERTO,"0,0","1025,5","1021,9",SEVILLA,"6,7","10,4","21,6","14,1","6,6","1,9"
34,99,2019-02-15,00,17,Varias,15:35,02:22,5783,SEVILLA AEROPUERTO,"0,0","1023,5","1017,9",SEVILLA,"10,8","10,0","20,2","13,4","6,6","4,7"
34,99,2019-02-16,Varias,15,14:03,14:17,23:47,5783,SEVILLA AEROPUERTO,"0,0","1019,9","1016,9",SEVILLA,"12,5","5,5","20,5","14,3","8,1","5,6"
34,23,2019-02-17,Varias,17,18:27,15:21,04:41,5783,SEVILLA AEROPUERTO,"0,0","1019,5","1014,8",SEVILLA,"7,8","9,9","21,2","13,0","4,8","2,8"
34,99,2019-02-18,24,15,Varias,15:07,03:50,5783,SEVILLA AEROPUERTO,"0,0","1015,6","1011,3",SEVILLA,"5,8","1,8","19,7","13,8","7,8","1,9"
34,6,2019-02-19,Varias,16,20:55,15:08,06:39,5783,SEVILLA AEROPUERTO,"0,0","1017,3","1014,5",SEVILLA,"5,0","7,2","19,3","14,4","9,6","1,9"
34,3,2019-02-20,Varias,00,10:08,16:28,07:08,5783,SEVILLA AEROPUERTO,"0,0","1020,7","1017,0",SEVILLA,"6,1","9,6","20,9","13,9","6,9","1,9"
34,99,2019-02-21,Varias,03,Varias,15:27,01:20,5783,SEVILLA AEROPUERTO,"0,0","1026,0","1020,3",SEVILLA,"7,2","9,9","22,0","14,8","7,5","2,2"
34,99,2019-02-22,10,17,Varias,16:56,02:55,5783,SEVILLA AEROPUERTO,"0,0","1026,9","1024,2",SEVILLA,"6,1","10,2","23,6","15,4","7,2","2,2"
34,8,2019-02-23,Varias,17,Varias,16:08,06:42,5783,SEVILLA AEROPUERTO,"0,0","1027,2","1022,5",SEVILLA,"6,7","9,3","23,4","14,8","6,3","2,2"
34,99,2019-02-24,Varias,04,Varias,15:13,06:44,5783,SEVILLA AEROPUERTO,"0,0","1026,3","1022,1",SEVILLA,"7,8","10,5","23,7","14,8","5,9","1,7"
34,7,2019-02-25,Varias,16,10:45,15:38,02:41,5783,SEVILLA AEROPUERTO,"0,0","1026,6","1022,8",SEVILLA,"12,5","10,8","22,3","15,4","8,6","5,8"
34,9,2019-02-26,00,17,10:40,Varias,03:42,5783,SEVILLA AEROPUERTO,"0,0","1024,0","1020,9",SEVILLA,"10,3","10,5","24,6","15,8","6,9","2,5"
34,99,2019-02-27,Varias,05,Varias,16:11,06:59,5783,SEVILLA AEROPUERTO,"0,0","1025,3","1022,9",SEVILLA,"5,8","10,4","22,9","13,6","4,2","1,7"
34,23,2019-02-28,Varias,Varias,19:10,15:11,06:48,5783,SEVILLA AEROPUERTO,Ip,"1026,0","1021,8",SEVILLA,"6,1","9,9","24,2","14,6","4,9","0,8"
34,22,2019-03-01,Varias,17,17:41,15:18,06:21,5783,SEVILLA AEROPUERTO,"0,0","1022,6","1019,6",SEVILLA,"8,9","9,3","20,5","13,6","6,7","3,3"
34,99,2019-03-02,Varias,18,Varias,15:44,05:57,5783,SEVILLA AEROPUERTO,"0,0","1023,9","1020,4",SEVILLA,"6,1","8,2","22,4","14,9","7,4","0,8"
34,99,2019-03-03,Varias,17,Varias,14:44,05:05,5783,SEVILLA AEROPUERTO,"0,0","1022,3","1017,6",SEVILLA,"7,2","10,5","25,1","16,0","6,9","1,9"
