,years,sales,gdp,unempl
0,1990,3206,2.784179990913552,301
1,1991,3780,3.263245210430189,409
2,1992,2909,2.5151987592977725,300
3,1993,4048,3.433680886828353,321
4,1994,3224,2.8076869315764226,343
5,1995,3273,2.668338684482816,317
6,1996,4422,3.9095864874759636,428
7,1997,4293,3.7551428736682695,416
8,1998,4467,4.021284854828588,402
9,1999,3165,2.6594375692126047,357
10,2000,3739,3.075931871803084,322
11,2001,4037,3.239989904400969,348
12,2002,2408,1.9365154774407545,247
13,2003,1814,1.7932678601306524,205
14,2004,2278,1.8874639382836986,250
15,2005,2598,2.2705563562833806,302
16,2006,2503,2.146585281980558,309
17,2007,2211,1.867889804506377,233
