clus,A-bajo,A-med,A-techo,L-del,L-med,L-tras,T-der,T-izq,T-med,Pint.,Rep.,Sust.
1,3.990855949264412,4.166272140825667,3.657109774481352,2.654230565740931,3.802111920373984,4.5903554667381865,3.7283392482746907,2.9332464731440226,3.2828272998804002,3.1347943585012805,2.928753869163181,4.6273354010810985
2,4.1708559492644115,8.926272140825667,3.297109774481352,4.984230565740932,5.642111920373984,5.000355466738186,8.588339248274693,2.8032464731440228,3.1328272998804003,6.03479435850128,4.958753869163181,4.367335401081099
3,4.090855949264411,8.086272140825667,3.047109774481352,2.504230565740931,3.8721119203739836,8.070355466738185,2.958339248274691,6.353246473144023,4.022827299880401,5.27479435850128,4.0287538691631815,4.867335401081099
4,4.100855949264412,7.966272140825668,3.327109774481352,3.024230565740931,6.962111920373984,4.630355466738186,2.878339248274691,7.883246473144024,2.7528272998804004,5.14479435850128,4.138753869163182,5.157335401081099
5,4.070855949264412,9.336272140825667,3.087109774481352,8.044230565740932,3.732111920373984,3.950355466738186,2.5683392482746905,7.303246473144023,4.762827299880401,5.20479435850128,3.658753869163181,6.757335401081098
6,4.020855949264412,9.286272140825666,2.9871097744813517,8.584230565740931,3.052111920373984,3.890355466738186,3.1583392482746913,3.4532464731440227,7.812827299880401,4.64479435850128,3.948753869163181,7.247335401081099
7,4.070855949264412,10.866272140825668,3.107109774481352,2.634230565740931,3.0321119203739837,11.610355466738186,3.508339248274691,3.6832464731440226,8.9728272998804,5.294794358501281,4.338753869163181,7.967335401081099
8,4.290855949264412,11.576272140825667,3.187109774481352,9.484230565740932,4.482111920373984,4.310355466738186,8.958339248274692,2.9032464731440224,5.322827299880401,5.6347943585012805,3.9687538691631805,9.187335401081098
9,4.720855949264411,24.116272140825668,4.747109774481352,9.454230565740932,10.892111920373985,12.470355466738186,10.408339248274691,10.203246473144022,11.1028272998804,16.05479435850128,8.108753869163182,9.527335401081098
10,4.840855949264411,21.696272140825666,3.6971097744813517,19.14423056574093,5.2021119203739845,5.120355466738186,7.268339248274691,8.523246473144022,12.5728272998804,7.98479435850128,4.668753869163181,22.217335401081098
